Fecha;Numero de tweets
29/10/2015;1
23/09/2015;3
12/10/2015;2
19/09/2015;1
17/10/2015;2
23/08/2015;3
21/09/2015;3
19/10/2015;2
05/11/2010;1
10/08/2013;3
19/08/2014;1
07/10/2015;4
21/03/2015;2
22/09/2015;1
20/10/2015;7
30/05/2015;6
24/08/2015;2
07/09/2015;5
20/09/2015;8
09/07/2014;1
03/06/2015;3
23/08/2012;1
19/01/2012;1
11/04/2012;1
02/08/2012;1
29/09/2015;2
27/10/2015;4
31/08/2015;10
07/08/2015;8
03/10/2015;2
29/09/2012;1
05/09/2015;7
28/10/2015;1
30/09/2015;3
09/06/2015;2
29/08/2012;1
01/10/2015;3
08/01/2014;1
10/12/2011;6
04/02/2012;4
13/06/2014;1
11/03/2015;3
01/08/2015;1
15/01/2015;1
21/06/2015;2
15/09/2015;3
19/07/2015;6
16/04/2012;1
16/04/2011;1
26/02/2012;1
28/01/2012;1
24/03/2012;3
12/05/2013;1
10/01/2013;2
18/01/2012;4
10/05/2012;1
07/04/2012;1
11/02/2012;3
24/05/2015;1
16/09/2015;2
14/10/2015;1
20/07/2015;3
29/07/2012;1
27/12/2011;2
19/11/2011;9
11/11/2012;1
09/12/2012;1
22/03/2012;1
26/01/2012;1
02/05/2011;1
21/01/2012;2
07/12/2011;1
17/03/2012;2
20/01/2012;1
08/01/2012;1
06/02/2012;1
02/04/2012;1
04/03/2012;2
07/03/2012;1
07/07/2014;2
21/04/2013;1
08/02/2012;2
04/04/2012;1
06/03/2012;2
05/02/2012;1
03/03/2012;2
29/07/2010;1
05/03/2014;2
01/01/2015;2
17/05/2012;1
21/03/2012;7
23/02/2012;2
03/11/2012;1
21/02/2012;1
27/09/2015;1
25/10/2015;2
29/08/2015;5
26/09/2015;2
24/10/2015;2
28/12/2014;1
30/11/2014;2
28/08/2015;9
15/10/2015;4
17/09/2015;4
19/08/2015;2
24/09/2015;3
22/10/2015;4
28/07/2015;1
25/09/2015;1
23/10/2015;8
27/08/2015;1
29/07/2015;1
16/07/2010;1
10/02/2012;1
08/03/2012;2
02/02/2013;1
20/08/2015;1
18/09/2015;2
16/10/2015;2
22/07/2015;2
12/09/2015;1
18/06/2015;2
28/01/2015;1
22/12/2013;1
16/07/2015;3
08/12/2014;1
28/06/2013;1
28/10/2012;2
06/09/2015;3
04/10/2015;4
12/10/2014;2
08/08/2015;1
14/06/2015;1
08/09/2015;5
06/10/2015;3
20/03/2015;2
30/06/2013;1
18/04/2015;1
22/02/2015;1
12/01/2015;1
09/10/2015;5
13/12/2014;2
15/07/2015;1
13/08/2015;2
29/04/2014;1
11/10/2015;2
29/09/2013;1
17/07/2015;3
29/01/2015;2
15/12/2014;1
06/08/2015;1
10/06/2015;2
18/02/2015;1
30/08/2012;1
04/09/2015;1
18/06/2014;3
30/12/2011;2
08/11/2014;1
02/08/2015;1
18/08/2013;2
12/03/2015;2
06/06/2015;2
04/07/2015;2
22/10/2012;1
04/11/2014;1
08/06/2015;2
02/09/2015;2
04/08/2015;2
10/09/2014;1
06/05/2015;1
26/11/2011;1
08/08/2014;1
21/04/2012;1
27/01/2012;1
11/01/2014;1
14/11/2012;1
18/05/2013;1
30/03/2012;1
12/12/2012;1
08/10/2013;2
10/09/2015;4
24/06/2014;1
26/09/2013;2
28/08/2013;3
23/02/2013;2
24/04/2012;1
20/02/2013;1
